"Base Image","Standardbild"
"Browse Files...","Dateien wählen..."
"Country of Manufacture","Herstellungsland"
"General","Überblick"
"Group Price","Gruppenpreise"
"Manage Products*","Artikel verwalten"
"Manufacturer's Suggested Retail Price","Preisempfehlung des Herstellers"
"Maximum width and height dimension for upload image is %s.","Breite bzw. Höhe der Bilder sind auf %s begrenzt."
"Prices","Preise"
"Set Product as New from Date","Produkt als Neuheit anzeigen ab"
"Set Product as New to Date","Produkt als Neuheit anzeigen bis"
"Short Description","Kurzbeschreibung"
"Small Image","Kleines Bild"
"Special Price","Sonderpreis"
"Special Price From Date","Sonderpreis ausweisen ab"
"Special Price To Date","Sonderpreis ausweisen bis"
"Thumbnail","Thumbnail"
"Upload Files","Dateien hochladen"
