"Bank Prepayment","Transferência Bancária"
"Pay within X days","Pague em X dias"
"Please transfer the money within %s days to the following bank account","Por favor, transfira o dinheiro dentro de %s dias para a seguinte conta bancária"
"Please transfer the money to the following bank account","Por favor, transfira o dinheiro para a seguinte conta bancária"
"Account holder","Titular da conta"
"Account number1","Número da conta"
"Sort code","Tipo da conta"
"Bank name","Nome do banco"
"For international transfers please use also following data","Para transferências internacionais, por favor, utilize os seguintes dados"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Informações da conta"
"International","Internacional"
"Custom text","Texto personalizado"
